Safari Shoes,SafariShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Fire Resistance Potion,FireResistancePotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Slime Rock Slimeum,ObjectItem;PlaceableItem;Item;
Shadow Mantle,ShadowMantleArmorItem;ChestArmorItem;ArmorItem;Item;
Wall Window (Pine Wall),ObjectItem;PlaceableItem;Item;
Broken Glass Display,ObjectItem;PlaceableItem;Item;
Locked Deep Stone Door,ObjectItem;PlaceableItem;Item;
Basalt Wall Torch,ObjectItem;PlaceableItem;Item;
Tungsten Streetlamp,ObjectItem;PlaceableItem;Item;
Raven Door,ObjectItem;PlaceableItem;Item;
Pine Bench,ObjectItem;PlaceableItem;Item;
Dino Plush,ObjectItem;PlaceableItem;Item;
Copper Bow,CopperBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Wall Window (Palm Wall),ObjectItem;PlaceableItem;Item;
Ruby Staff,RubyStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Bone Hilt,SimpleTrinketItem;TrinketItem;Item;
Swamp Dweller Spawn Item,MobSpawnItem;PlaceableItem;Item;
Ancient Totem,ObjectItem;PlaceableItem;Item;
Merchant's Backpack,ObjectItem;PlaceableItem;Item;
Lab Coat,LabCoatArmorItem;ChestArmorItem;ArmorItem;Item;
Mother Slime Spawn Item,MobSpawnItem;PlaceableItem;Item;
Summon Foci,SimpleTrinketItem;TrinketItem;Item;
Red Dining Set,ObjectItem;PlaceableItem;Item;
Donut,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Angelic Statue,ObjectItem;PlaceableItem;Item;
Firemone Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Sickle,SickleToolItem;ToolDamageItem;ToolItem;Item;
Blue Wrapping Paper,WrappingPaperItem;Item;
Moss Covered Skull,ObjectItem;PlaceableItem;Item;
Banner of Summon Speed,BannerItem;Item;
Telescopic Ladder,SimpleTrinketItem;TrinketItem;Item;
Strawberry Pie,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Bandit Fence,ObjectItem;PlaceableItem;Item;
Swamp Cave Spider Spawn Item,MobSpawnItem;PlaceableItem;Item;
Squeaky Toy,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Elder Spawn Item,MobSpawnItem;PlaceableItem;Item;
Ascended Corruption,TileItem;PlaceableItem;Item;
Basalt Rock Tungsten Ore,ObjectItem;PlaceableItem;Item;
Blue Dining Set,ObjectItem;PlaceableItem;Item;
Large Pirate Banner,ObjectItem;PlaceableItem;Item;
Deadwood Display,ObjectItem;PlaceableItem;Item;
Bloodplate Boots,BloodplateBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Brick Door,ObjectItem;PlaceableItem;Item;
Pure Emerald Cluster,ObjectItem;PlaceableItem;Item;
Sandstone Floor,TileItem;PlaceableItem;Item;
Bone Chest,ObjectItem;PlaceableItem;Item;
Ninja Star,NinjaStarToolItem;SettlerIgnoredThrowToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Ravenlord's Boots,RavenlordsBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Fish on a Stick,ObjectItem;PlaceableItem;Item;
Life Elixir,LifeElixirItem;HealthUpgradeItem;ConsumableItem;PlaceableItem;Item;
Locked Bamboo Door,ObjectItem;PlaceableItem;Item;
Wrench,WrenchPlaceableItem;PlaceableItem;Item;
Iron Lamp,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Gold Fishing Rod,FishingRodItem;PlaceableItem;Item;
Small Ruby Cluster,ObjectItem;PlaceableItem;Item;
Calming Miners Bouquet,CalmingMinersBouquetTrinketItem;TrinketItem;Item;
Rapid Potion,RapidPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Stone,StonePlaceableItem;PlaceableItem;Item;
Crypt Rock Nightsteel Ore,ObjectItem;PlaceableItem;Item;
Leather Glove,SimpleTrinketItem;TrinketItem;Item;
Mouse Projectile Test,MouseTestProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Bone Double Bed,ObjectItem;PlaceableItem;Item;
Trout,FishItem;MatItem;Item;
Pig Spawn Item,MobSpawnItem;PlaceableItem;Item;
Inefficient Feather,MountItem;Item;
Rum Bottle,RumBottleQuestItem;QuestItem;Item;
Swamp Stone Floor,TileItem;PlaceableItem;Item;
MLG 1,MLG1SwordToolItem;SwordToolItem;ToolItem;Item;
Palm Dinner Table,ObjectItem;PlaceableItem;Item;
Dryad Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Small Single Deep Swamp Rock,ObjectItem;PlaceableItem;Item;
The Elder's Jingle Jam Vinyl,VinylItem;Item;
Dryad Hat,DryadHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Nightsteel Ore,MatItem;Item;
Bamboo Debris,ObjectItem;PlaceableItem;Item;
Egg,EggFoodConsumableItem;FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Crab Claw,CrabClawQuestItem;QuestItem;Item;
Dessert Pancakes,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Banner of Damage,BannerItem;Item;
Animal Keeper Shirt,AnimalKeeperShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Cryo Heart,CryoHeartItem;HealthUpgradeItem;ConsumableItem;PlaceableItem;Item;
Demonic Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Possessed Settler Spawn Item,MobSpawnItem;PlaceableItem;Item;
Cod,FishItem;MatItem;Item;
Deep Sandstone Rock Gold Ore,ObjectItem;PlaceableItem;Item;
Swamp Grass Seeds,GrassSeedItem;PlaceableItem;Item;
Duck Painting,ObjectItem;PlaceableItem;Item;
Halffish,FishItem;MatItem;Item;
Caveling's Foot,SimpleTrinketItem;TrinketItem;Item;
Bamboo Modular Table,ObjectItem;PlaceableItem;Item;
Iron Fence,ObjectItem;PlaceableItem;Item;
Raspberry Juice,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Pine Clock,ObjectItem;PlaceableItem;Item;
Obsidian Column,ObjectItem;PlaceableItem;Item;
Black Coffee,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Shadow Hat,ShadowHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Birch Display,ObjectItem;PlaceableItem;Item;
Rialto Vinyl,VinylItem;Item;
Spiked Bat Boots,SimpleTrinketItem;TrinketItem;Item;
Deep Sandstone Saw Trap,ObjectItem;PlaceableItem;Item;
Tungsten Workstation,ObjectItem;PlaceableItem;Item;
Small Single Deep Rock,ObjectItem;PlaceableItem;Item;
God Rod,FishingRodItem;PlaceableItem;Item;
WaterFae Vinyl,VinylItem;Item;
Chicken Costume Shirt,ChickenCostumeShirtArmorItem;ChestArmorItem;ArmorItem;Item;
The Runebound Trail Part 2 Vinyl,VinylItem;Item;
Water Grass,ObjectItem;PlaceableItem;Item;
Slime Hat,SlimeHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Eggplant Parmesan,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Runebound Horned Helm,RuneboundHornHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Blue Present,PresentItem;Item;
Spiderite Arrow,SpideriteArrowItem;ArrowItem;Item;
itemhold,ItemHolding;Item;
Gold Greatbow,GoldGreatbowProjectileToolItem;GreatbowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Quartz Staff,QuartzStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Deep Sandstone Rock,ObjectItem;PlaceableItem;Item;
Crystal,ObjectItem;PlaceableItem;Item;
Enchanted Zombie Archer Spawn Item,MobSpawnItem;PlaceableItem;Item;
Swamp Sludge,MatItem;Item;
Dark Full Moon Path,TileItem;PlaceableItem;Item;
Locked Crypt Door,ObjectItem;PlaceableItem;Item;
Galvanic Hammer,GalvanicHammerToolItem;SwordToolItem;ToolItem;Item;
Web Weaver,WebWeaverToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Coffee Beans,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Construction Hammer,SimpleTrinketItem;TrinketItem;Item;
Cave Maple Sapling,ObjectItem;PlaceableItem;Item;
Wall Window (Deep Swamp Stone Wall),ObjectItem;PlaceableItem;Item;
Shish Kebab,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Glacial Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Mission Board,ObjectItem;PlaceableItem;Item;
Spiderite Greaves,SpideriteGreavesArmorItem;BootsArmorItem;ArmorItem;Item;
Temple Pendant,SimpleTrinketItem;TrinketItem;Item;
Dungeon Display,ObjectItem;PlaceableItem;Item;
Swamp Stone Arrow Trap,ObjectItem;PlaceableItem;Item;
Glacial Helmet,GlacialHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Cutting Board,ObjectItem;PlaceableItem;Item;
Invisibility Potion,InvisibilityPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Snow Stone Floor,TileItem;PlaceableItem;Item;
Iceblossom,FlowerObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Essence of Rebirth,SimpleTrinketItem;TrinketItem;Item;
Ghost Slime Spawn Item,MobSpawnItem;PlaceableItem;Item;
Engineer Goggles,EngineerGogglesArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Frozen Soul,CombinedTrinketItem;TrinketItem;Item;
Jumping Ball,JumpingBallMountItem;MountItem;Item;
Crystal Armadillo Spawn Item,MobSpawnItem;PlaceableItem;Item;
Blood Bolt,BloodBoltProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Bone Bench,ObjectItem;PlaceableItem;Item;
Ninja Hood,NinjaHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Miner Shirt,MinerShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Raven Floor,TileItem;PlaceableItem;Item;
Yellow Wrapping Paper,WrappingPaperItem;Item;
Hardened Shield,ShieldTrinketItem;TrinketItem;Item;
Pine Dinner Table,ObjectItem;PlaceableItem;Item;
Large Eggcellent Banner,ObjectItem;PlaceableItem;Item;
Birch Cabinet,ObjectItem;PlaceableItem;Item;
Broken Iron Tool,MultiTextureMatItem;MatItem;Item;
Zombie Arm,ZombieArmQuestItem;QuestItem;Item;
Peg Leg,PegLegQuestItem;QuestItem;Item;
Emerald Gravel,TileItem;PlaceableItem;Item;
Millenium Vinyl,VinylItem;Item;
Swamp Rock Gold Ore,ObjectItem;PlaceableItem;Item;
Dusty Hollows Strings Vinyl,VinylItem;Item;
Mycelium Bar,MatItem;Item;
Ram Spawn Item,MobSpawnItem;PlaceableItem;Item;
Spruce Bathtub,ObjectItem;PlaceableItem;Item;
Venom Slasher,VenomSlasherToolItem;SwordToolItem;ToolItem;Item;
The Runebound Trail Part 1 Vinyl,VinylItem;Item;
Void's Embrace Vinyl,VinylItem;Item;
Slime Glaive,SlimeGlaiveToolItem;GlaiveToolItem;ToolItem;Item;
Moss Covered Monk Statue,ObjectItem;PlaceableItem;Item;
Red Flower Patch,ObjectItem;PlaceableItem;Item;
Runic Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Portal Minion Spawn Item,MobSpawnItem;PlaceableItem;Item;
Rabbit Spawn Item,MobSpawnItem;PlaceableItem;Item;
Spare Gemstones,SimpleTrinketItem;TrinketItem;Item;
Runic Chestplate,RunicChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Wizard's Awakening Vinyl,VinylItem;Item;
Witch Shoes,WitchShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Worm Tooth,WormToothQuestItem;QuestItem;Item;
Large Painting Of Strange Lands,ObjectItem;PlaceableItem;Item;
Deep Rock Gold Ore,ObjectItem;PlaceableItem;Item;
Captains Boots,CaptainsBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Wood Path,TileItem;PlaceableItem;Item;
Deep Snow Stone Flame Trap,ObjectItem;PlaceableItem;Item;
Cryo Witch Hat,CryoWitchHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Single Snow Rock,ObjectItem;PlaceableItem;Item;
Salvage Station,ObjectItem;PlaceableItem;Item;
Red Yarn Carpet,ObjectItem;PlaceableItem;Item;
Granite Pressure Plate,ObjectItem;PlaceableItem;Item;
-1 item sets,TestChangeItemSetsItem;ConsumableItem;PlaceableItem;Item;
Sandstone Brick Floor,TileItem;PlaceableItem;Item;
Dungeon Pressure Plate,ObjectItem;PlaceableItem;Item;
Slimeworm Spawn Item,MobSpawnItem;PlaceableItem;Item;
Palm Toilet,ObjectItem;PlaceableItem;Item;
CaravanTusks Vinyl,VinylItem;Item;
Candle,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Dryad Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Gold Bow,GoldBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Hard Hat,HardHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Turtle Spawn Item,MobSpawnItem;PlaceableItem;Item;
Snow Wolf Spawn Item,MobSpawnItem;PlaceableItem;Item;
Oil Lantern,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Broken Copper Tool,MultiTextureMatItem;MatItem;Item;
Ivy Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Deadwood Desk,ObjectItem;PlaceableItem;Item;
Guardian Shell,SimpleTrinketItem;TrinketItem;Item;
Tungsten Boots,TungstenBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Sailor Shirt,SailorShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Wild Mushroom,ObjectItem;PlaceableItem;Item;
Large Castle Painting,ObjectItem;PlaceableItem;Item;
Captains Shirt,CaptainsShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Pine Cabinet,ObjectItem;PlaceableItem;Item;
Banner of War,ObjectItem;PlaceableItem;Item;
Willow Desk,ObjectItem;PlaceableItem;Item;
Spirit Greaves,SimpleTrinketItem;TrinketItem;Item;
Hunter Boots,HunterBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Blueberry Bush Sapling,ObjectItem;PlaceableItem;Item;
Deepfrost Hood,DeepfrostHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Wall Candle,ObjectItem;PlaceableItem;Item;
XOR Gate,LogicGateItem;PlaceableItem;Item;
Ascended Staff,AscendedStaffToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Life Pendant,SimpleTrinketItem;TrinketItem;Item;
Swamp Stone Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Spiderite Hood,SpideriteHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Void Bullet,VoidBulletItem;BulletItem;Item;
Call of the Sea,SeahorseMountItem;MountItem;Item;
Decorative Pot,ObjectItem;PlaceableItem;Item;
Omni-Crystal,MatItem;Item;
Captains Hat,CaptainsHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Wool Carpet,ObjectItem;PlaceableItem;Item;
Deep Rock Alchemy Shard,ObjectItem;PlaceableItem;Item;
Iron Chestplate,IronChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Dryad Display,ObjectItem;PlaceableItem;Item;
Sapphire Eyepatch,SapphireEyepatch;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Tungsten Boomerang,TungstenBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Quartz,MatItem;Item;
Large Vampiric Banner,ObjectItem;PlaceableItem;Item;
Pirate Shirt,PirateShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Cryo Glaive,CryoGlaiveToolItem;GlaiveToolItem;ToolItem;Item;
Sunlight Champion Spawn Item,MobSpawnItem;PlaceableItem;Item;
Deep Swamp Stone Column,ObjectItem;PlaceableItem;Item;
Granite Flame Trap,ObjectItem;PlaceableItem;Item;
Honey Bee,HoneyBeePlaceableItem;PlaceableItem;Item;
Chili Pepper,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Trial Exit,ObjectItem;PlaceableItem;Item;
Picnic Blanket,ObjectItem;PlaceableItem;Item;
Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Mouse Beam Test,MouseBeamProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Rooster Spawn Item,MobSpawnItem;PlaceableItem;Item;
Wall Window (Wood Wall),ObjectItem;PlaceableItem;Item;
Deep Sandstone Rock Ancient Fossil Ore,ObjectItem;PlaceableItem;Item;
Plague Mask,PlagueMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Chicken Spawn Item,MobSpawnItem;PlaceableItem;Item;
Blackberry,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Arcanic Chestplate,ArcanicChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Worm Carapace,MatItem;Item;
Void Mask,VoidMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Bone Clock,ObjectItem;PlaceableItem;Item;
Raw Mutton,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Single Deep Sandstone Rock,ObjectItem;PlaceableItem;Item;
Swamp Root,ObjectItem;PlaceableItem;Item;
Ivy Bar,MatItem;Item;
Candy Cane,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Swamp Rock,TileItem;PlaceableItem;Item;
Arcanic Floor,TileItem;PlaceableItem;Item;
Bouncing Arrow,BouncingArrowItem;ArrowItem;Item;
Gunslinger Vest,GunslingerVestArmorItem;ChestArmorItem;ArmorItem;Item;
Icefish,FishItem;MatItem;Item;
Vulture Staff,VultureStaffSummonToolItem;SummonToolItem;ToolItem;Item;
Minion Potion,MinionPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Palm Wall,ObjectItem;PlaceableItem;Item;
Poison Arrow,PoisonArrowItem;ArrowItem;Item;
Christmas Tree,ObjectItem;PlaceableItem;Item;
Ruby Crown,RubyCrown;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Bamboo Sapling,ObjectItem;PlaceableItem;Item;
Soulseed Chestplate,SoulseedChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Bloated Spider Spawn Item,MobSpawnItem;PlaceableItem;Item;
Deep Sandstone,StonePlaceableItem;PlaceableItem;Item;
Copper Helmet,CopperHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Machine Gun,MachineGunProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Fallen Workstation,ObjectItem;PlaceableItem;Item;
Amethyst Sword,AmethystSwordToolItem;SwordToolItem;ToolItem;Item;
+1 item sets,TestChangeItemSetsItem;ConsumableItem;PlaceableItem;Item;
Snowball,SnowBallToolItem;SettlerIgnoredThrowToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Barrel,ObjectItem;PlaceableItem;Item;
Spruce Desk,ObjectItem;PlaceableItem;Item;
Bamboo Double Bed,ObjectItem;PlaceableItem;Item;
Bamboo Dresser,ObjectItem;PlaceableItem;Item;
Mug,ObjectItem;PlaceableItem;Item;
Bamboo Log Bench,ObjectItem;PlaceableItem;Item;
Tuna,FishItem;MatItem;Item;
Oak Dinner Table,ObjectItem;PlaceableItem;Item;
Cryo Spear,CryoSpearToolItem;SpearToolItem;ToolItem;Item;
Oak Log,MatItem;Item;
Swimsuit,SwimSuitArmorItem;ChestArmorItem;ArmorItem;Item;
Frost Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Palm Chest,ObjectItem;PlaceableItem;Item;
Webbed Gun,WebbedGunProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Swamp Dweller Staff,SwampDwellerStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Assassins Cowl,CombinedTrinketItem;TrinketItem;Item;
Glacial Bar,MatItem;Item;
Pest Warden's Charge Vinyl,VinylItem;Item;
Vampires Gift,SimpleTrinketItem;TrinketItem;Item;
Aged Champion Greaves,AgedChampionGreavesArmorItem;BootsArmorItem;ArmorItem;Item;
Soldier's Boots,SoldierBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Katana,KatanaToolItem;SwordToolItem;ToolItem;Item;
Void Greatbow,VoidGreatbowProjectileToolItem;GreatbowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Deep Swamp Rock Upgrade Shard,ObjectItem;PlaceableItem;Item;
Snow Stone Wall,ObjectItem;PlaceableItem;Item;
Shadow Beam,ShadowBeamProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Majestic Pig Statue,ObjectItem;PlaceableItem;Item;
Runic Heart,RunicHeartItem;HealthUpgradeItem;ConsumableItem;PlaceableItem;Item;
Gold Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Crystal Shield,CrystalShieldTrinketItem;ShieldTrinketItem;TrinketItem;Item;
Ruby Gravel,TileItem;PlaceableItem;Item;
Deep Sandstone Flame Trap,ObjectItem;PlaceableItem;Item;
Demonic Sword,DemonicSwordToolItem;SwordToolItem;ToolItem;Item;
Dryad Dresser,ObjectItem;PlaceableItem;Item;
Omelette,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Ascended Return Vinyl,VinylItem;Item;
Runebound Brute Spawn Item,MobSpawnItem;PlaceableItem;Item;
Horse Mask,HorseMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Tungsten Anvil,ObjectItem;PlaceableItem;Item;
Soulseed Crown,SoulseedCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Rotten Pig Dish,ObjectItem;PlaceableItem;Item;
Stone Column,ObjectItem;PlaceableItem;Item;
Broken Painting,ObjectItem;PlaceableItem;Item;
Swamp Stone Case,ObjectItem;PlaceableItem;Item;
Castle Painting,ObjectItem;PlaceableItem;Item;
Green Book,ObjectItem;PlaceableItem;Item;
Spider Castle Bench,ObjectItem;PlaceableItem;Item;
Leather Shirt,LeatherShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Runebound Bones Robe,RuneboundBonesRobeChestArmorItem;ChestArmorItem;ArmorItem;Item;
Magic Branch,MagicBranchSummonToolItem;SummonToolItem;ToolItem;Item;
Pine Sapling,ObjectItem;PlaceableItem;Item;
Onion Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Sunflower Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Fountain,ObjectItem;PlaceableItem;Item;
Shadow Bolt,ShadowBoltProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Birch Clock,ObjectItem;PlaceableItem;Item;
Palm Display,ObjectItem;PlaceableItem;Item;
Obsidian Arrow Trap,ObjectItem;PlaceableItem;Item;
Iron Anvil,ObjectItem;PlaceableItem;Item;
Handgun,HandGunProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Blackberry Ice Cream,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Runic Hat,RunicHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Reanimation Bow,ReanimationBowProjectileToolItem;NecroticBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Wall Window (Deep Snow Stone Wall),ObjectItem;PlaceableItem;Item;
Oak Cabinet,ObjectItem;PlaceableItem;Item;
Fool's Gambit,FoolsGambitTrinketItem;TrinketItem;Item;
Pharaoh's Sandals,PharaohsSandalsArmorItem;BootsArmorItem;ArmorItem;Item;
Bamboo Clock,ObjectItem;PlaceableItem;Item;
The Soulstorm,TheSoulstormProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Fish and Chips,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Deep Swamp Stone Arrow Trap,ObjectItem;PlaceableItem;Item;
Paper Towel,ObjectItem;PlaceableItem;Item;
Pearlescent Diamond,MatItem;Item;
Sushi Rolls,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Dungeon Cabinet,ObjectItem;PlaceableItem;Item;
Essence of Prolonging,SimpleTrinketItem;TrinketItem;Item;
Deep Snow Stone Wall,ObjectItem;PlaceableItem;Item;
Dryad Sentinel Spawn Item,MobSpawnItem;PlaceableItem;Item;
Slime Chunk,SlimeChunkQuestItem;QuestItem;Item;
Willow Door,ObjectItem;PlaceableItem;Item;
Runebound Robe,RuneboundRobeArmorItem;ChestArmorItem;ArmorItem;Item;
Crab Spawn Item,MobSpawnItem;PlaceableItem;Item;
Gold Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
KonsoleGlitch Vinyl,VinylItem;Item;
Basalt Rock,ObjectItem;PlaceableItem;Item;
Dryad Sapling,ObjectItem;PlaceableItem;Item;
Wise Painting,ObjectItem;PlaceableItem;Item;
